log,template
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
session closed for user root,session closed for user root
session opened for user root by (uid=0),session opened for user root by (uid=0)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly)
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.26.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
session closed for user root,session closed for user root
"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost","<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
unable to qualify my own domain name (cadmin1) -- using short name,unable to qualify my own domain name (<*>) -- using short name
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
unable to qualify my own domain name (dadmin1) -- using short name,unable to qualify my own domain name (<*>) -- using short name
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
session closed for user root,session closed for user root
"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost","<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
session closed for user root,session closed for user root
"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
session closed for user root,session closed for user root
"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost","<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
session closed for user root,session closed for user root
"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost","<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]","<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,DHCPREQUEST for <*> (<*>) from <*> via eth1
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.30.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1481]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.24.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPACK on <*> to <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from <*> via eth1
DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on <*> to <*> via eth1
DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on <*> to <*> via eth1
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,DHCPREQUEST for <*> (<*>) from <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP
DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPACK on <*> to <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,DHCPDISCOVER from <*> via eth1
DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on <*> to <*> via eth1
DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,DHCPOFFER on <*> to <*> via eth1
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,DHCPREQUEST for <*> (<*>) from <*> via eth1
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,DHCPDISCOVER from <*> via eth1: network A_net: no free leases
DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.30.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.30.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.18.250, stratum 3","synchronized to <*>, stratum <*>"
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.28.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
[ib_sm_sweep.c:1455]: No topology change,and
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
"synchronized to 10.100.20.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.22.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
"synchronized to 10.100.16.250, stratum 3","synchronized to <*>, stratum <*>"
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change
